feature,gain,pct_gain,cumulative_gain_pct
batting_order,724.341552734375,30.15,30.2
exp_pa_heuristic,329.0381164550781,13.7,43.8
stand_R,188.2673797607422,7.84,51.7
wind_mph,162.76934814453125,6.78,58.5
bias_offset,138.20687866210938,5.75,64.2
projected_total_adj,133.30068969726562,5.55,69.8
swing_length_pctile,110.14619445800781,4.59,74.4
temp_f,96.01081085205078,4.0,78.4
bat_speed_pctile,51.8453369140625,2.16,80.5
wind_bearing,50.95570755004883,2.12,82.6
woba,45.61228561401367,1.9,84.5
stand_S,36.61318588256836,1.52,86.1
slg,35.49430465698242,1.48,87.5
est_slg,32.601661682128906,1.36,88.9
air_density_rho,31.86595916748047,1.33,90.2
stand_L,31.84172821044922,1.33,91.6
lineup_fragility,31.41228485107422,1.31,92.9
est_woba,31.40015983581543,1.31,94.2
velocity_decay_risk,30.318113327026367,1.26,95.4
ba,28.847238540649414,1.2,96.6
est_ba,26.283184051513672,1.09,97.7
pull_side_wind_vector,25.73773193359375,1.07,98.8
opp_sp_ff_velo,19.278989791870117,0.8,99.6
platoon_same_hand,9.877248764038086,0.41,100.0
