game_date,player_name,team,temp_f,air_density_rho_computed,bat_speed_pctile,leakage_risk,feature_collection_timestamp
2026-03-21,Luis Torrens,,,1.199052,82.5,RISK,2026-04-24
2026-03-21,Abraham Toro,,,1.161657,,RISK,2026-04-24
2026-03-21,Kevin Newman,,,1.161657,,RISK,2026-04-24
2026-03-21,Brandon Drury,,,1.161657,,RISK,2026-04-24
2026-03-21,Starling Marte,,,1.161657,82.5,RISK,2026-04-24
2026-03-21,,,,1.172298,,RISK,2026-04-24
2026-03-21,,,,1.172298,,RISK,2026-04-24
2026-03-21,,,,1.172298,,RISK,2026-04-24
2026-03-21,,,,1.172298,,RISK,2026-04-24
2026-03-21,,,,1.172298,,RISK,2026-04-24
