stage,bucket,n,predicted,actual,diff
L1_platt,"[0.0,0.1)",14,0.09506581397337145,0.0,-0.09506581397337145
L1_platt,"[0.1,0.2)",962,0.1493224478103751,0.12266112266112267,-0.02666132514925243
L1_platt,"[0.2,0.3)",760,0.24749012858691727,0.2513157894736842,0.003825660886766946
L1_platt,"[0.3,0.4)",604,0.3495540320382688,0.37748344370860926,0.027929411670340465
L1_platt,"[0.4,0.5)",754,0.45317687525293915,0.47214854111405835,0.018971665861119202
L1_platt,"[0.5,0.6)",1102,0.5525281475967028,0.5626134301270418,0.010085282530339024
L1_platt,"[0.6,0.7)",1228,0.6500319367076804,0.6490228013029316,-0.0010091354047488954
L1_platt,"[0.7,0.8)",1618,0.7495432077480644,0.7391841779975278,-0.010359029750536597
L1_platt,"[0.8,0.9)",255,0.816882062798842,0.8156862745098039,-0.0011957882890381022
L1_platt,"[0.9,1.0)",0,,,
L2_stacker,"[0.0,0.1)",414,0.06345680238035821,0.050724637681159424,-0.012732164699198786
L2_stacker,"[0.1,0.2)",627,0.1502740387984291,0.15151515151515152,0.00124111271672242
L2_stacker,"[0.2,0.3)",618,0.24800279794331237,0.2540453074433657,0.006042509500053306
L2_stacker,"[0.3,0.4)",579,0.3503796098594851,0.3644214162348877,0.014041806375402643
L2_stacker,"[0.4,0.5)",783,0.4562139032409803,0.4495530012771392,-0.006660901963841115
L2_stacker,"[0.5,0.6)",1136,0.5483843620566421,0.5484154929577465,3.113090110440364e-05
L2_stacker,"[0.6,0.7)",1137,0.6560341523354717,0.635004397537379,-0.02102975479809266
L2_stacker,"[0.7,0.8)",1764,0.7455982785342208,0.7556689342403629,0.010070655706142073
L2_stacker,"[0.8,0.9)",239,0.8191988844288712,0.8368200836820083,0.0176211992531371
L2_stacker,"[0.9,1.0)",0,,,
